class_name	ci_count
cmdb_ci_cohesity_node	0
cmdb_ci_comm	0
cmdb_ci_communication_distribution_panel	0
cmdb_ci_comm_hardware	0
cmdb_ci_computer_room	0
cmdb_ci_compute_security_group	0
cmdb_ci_compute_template	0
cmdb_ci_config_automation_server	0
cmdb_ci_config_file	0
cmdb_ci_config_file_tracked	0
cmdb_ci_connect_direct	0
cmdb_ci_console_radio	0
cmdb_ci_consul	0
cmdb_ci_container_cabinet	0
cmdb_ci_container_multi_rack	0
cmdb_ci_container_rack	0
cmdb_ci_container_repository	0
cmdb_ci_container_repository_entry	0
cmdb_ci_container_shelf	0
cmdb_ci_container_slot	0
cmdb_ci_container_subslot	0
cmdb_ci_controller_mainframe	0
cmdb_ci_control_station_radio	0
cmdb_ci_conventional_radio	0
cmdb_ci_converged_infra	0
cmdb_ci_couchbase_bucket	0
cmdb_ci_couchbase_cluster	0
cmdb_ci_couchbase_cluster_node	0
cmdb_ci_couchbase_cluster_resource	0
cmdb_ci_couchbase_instance	0
cmdb_ci_cpu_mainframe	0
cmdb_ci_crac	0
cmdb_ci_csu_dsu_network	0
cmdb_ci_customer_gateway	0
cmdb_ci_customization_spec	0
cmdb_ci_custom_application	0
cmdb_ci_dacs_transport	0
cmdb_ci_dasd_mainframe	0
cmdb_ci_database	0
cmdb_ci_datapower_server	0
cmdb_ci_db_catalog	0
cmdb_ci_db_db2_catalog	0
cmdb_ci_db_db2_instance	0
cmdb_ci_db_hbase_instance	0
cmdb_ci_db_mongodb_instance	0
cmdb_ci_db_mssql_analysis	0
cmdb_ci_db_mssql_catalog	0
cmdb_ci_db_mssql_database	0
cmdb_ci_db_mssql_integration	0
cmdb_ci_db_mssql_int_job	0
cmdb_ci_db_mssql_reporting	0
cmdb_ci_db_mssql_server	0
cmdb_ci_db_mysql_catalog	0
cmdb_ci_db_mysql_clustermgnode	0
cmdb_ci_db_mysql_clusternode	0
cmdb_ci_db_ora_catalog	0
cmdb_ci_db_ora_listener	0
cmdb_ci_db_ora_service	0
cmdb_ci_db_syb_catalog	0
cmdb_ci_dc_plant_battery_pwr	0
cmdb_ci_dc_plant_eq_power_eq	0
cmdb_ci_deployment_component	0
cmdb_ci_desktop_software	0
cmdb_ci_digital_cross_connect_patch_panel	0
cmdb_ci_digital_cross_connect_system	0
cmdb_ci_digital_distribution_panel	0
cmdb_ci_directory_ad_forest	0
cmdb_ci_directory_ha	0
cmdb_ci_directory_iifp	0
cmdb_ci_directory_ldap	0
cmdb_ci_directory_server	0
cmdb_ci_dir_policy_server	0
cmdb_ci_dir_site_minder_server	0
cmdb_ci_disk	0
cmdb_ci_diskshelf_chassis	0
cmdb_ci_disk_partition	0
cmdb_ci_display	0
cmdb_ci_display_hardware	0
cmdb_ci_distributed_antenna_system_controller	0
cmdb_ci_distributed_antenna_system_remote	0
cmdb_ci_distributed_event_stream	0
cmdb_ci_dns_alias	0
cmdb_ci_dns_name	0
cmdb_ci_dns_zone	0
cmdb_ci_docker_container	0
cmdb_ci_docker_engine	0
cmdb_ci_docker_image	0
cmdb_ci_docker_image_tag	0
cmdb_ci_docker_local_image	0
cmdb_ci_drone	0
cmdb_ci_drs_vm_config	0
cmdb_ci_dslam	0
cmdb_ci_ec2_instance	0
cmdb_ci_echo_cancellation_system	0
cmdb_ci_edge_device	0
cmdb_ci_edge_rack	0
cmdb_ci_email_server	0
cmdb_ci_email_server_ent_vault	0
cmdb_ci_email_server_jes	0
cmdb_ci_enclosure	0
cmdb_ci_endpoint	0
cmdb_ci_endpoint_acl	0
cmdb_ci_endpoint_ad_domain	0
cmdb_ci_endpoint_ad_forest	0
cmdb_ci_endpoint_ad_service_in	0
cmdb_ci_endpoint_agility	0
cmdb_ci_endpoint_ajp	0
cmdb_ci_endpoint_app	0
cmdb_ci_endpoint_app_storage	0
cmdb_ci_endpoint_aq	0
cmdb_ci_endpoint_aq_queue	0
cmdb_ci_endpoint_biztalk	0
cmdb_ci_endpoint_biztalk_orch	0
cmdb_ci_endpoint_block	0
cmdb_ci_endpoint_cassandra	0
cmdb_ci_endpoint_cloud_db_instance	0
cmdb_ci_endpoint_comp_security	0
cmdb_ci_endpoint_crm	0
cmdb_ci_endpoint_ctg	0
cmdb_ci_endpoint_cust_gateway	0
cmdb_ci_endpoint_db2sql	0
cmdb_ci_endpoint_dctm_broker	0
cmdb_ci_endpoint_dctm_index	0
cmdb_ci_endpoint_dctm_job	0
cmdb_ci_endpoint_dliver_cnrl	0
cmdb_ci_endpoint_docbase	0
cmdb_ci_endpoint_ebs	0
cmdb_ci_endpoint_ejb	0
cmdb_ci_endpoint_ems	0
cmdb_ci_endpoint_ems_jndi	0
cmdb_ci_endpoint_ems_queue	0
cmdb_ci_endpoint_ent_vault	0
cmdb_ci_endpoint_epicd	0
cmdb_ci_endpoint_exchange	0
cmdb_ci_endpoint_extnetwork	0
cmdb_ci_endpoint_f5	0
cmdb_ci_endpoint_fastsearch	0
cmdb_ci_endpoint_fromcluster_t	0
cmdb_ci_endpoint_ftp	0
cmdb_ci_endpoint_glassfish_war	0
cmdb_ci_endpoint_hpom	0
cmdb_ci_endpoint_http	0
cmdb_ci_endpoint_iifp	0
cmdb_ci_endpoint_iis	0
cmdb_ci_endpoint_imap	0
cmdb_ci_endpoint_inclusion	0
cmdb_ci_endpoint_inclusion_rabbitmq_queue	0
cmdb_ci_endpoint_inter_connect	0
cmdb_ci_endpoint_intgateway	0
cmdb_ci_endpoint_iscsi	0
cmdb_ci_endpoint_itam	0
cmdb_ci_endpoint_j2ee_ear	0
cmdb_ci_endpoint_jboss	0
cmdb_ci_endpoint_jms_flow	0
cmdb_ci_endpoint_jms_queue	0
cmdb_ci_endpoint_jms_server	0
cmdb_ci_endpoint_jrun	0
cmdb_ci_endpoint_ldap	0
cmdb_ci_endpoint_ldap_db	0
cmdb_ci_endpoint_listener_wmb	0
cmdb_ci_endpoint_manual	0
cmdb_ci_endpoint_mapi	0
cmdb_ci_endpoint_mapi_hub	0
cmdb_ci_endpoint_mq	0
cmdb_ci_endpoint_mq_flow	0
cmdb_ci_endpoint_mq_mem	0
cmdb_ci_endpoint_mq_queue	0
cmdb_ci_endpoint_msmq	0
cmdb_ci_endpoint_ms_sql	0
cmdb_ci_endpoint_ms_sql_server	0
cmdb_ci_endpoint_mysql_cl_dn	0
cmdb_ci_endpoint_mysql_cl_mg	0
cmdb_ci_endpoint_mysql_server	0
cmdb_ci_endpoint_mysql_slave	0
cmdb_ci_endpoint_nat	0
cmdb_ci_endpoint_network	0
cmdb_ci_endpoint_nfs	0
cmdb_ci_endpoint_nntp	0
cmdb_ci_endpoint_obj_cms_srv	0
cmdb_ci_endpoint_ob_cluster	0
cmdb_ci_endpoint_oracle_db	0
cmdb_ci_endpoint_oracle_db_schema	0
cmdb_ci_endpoint_oracle_esb	0
cmdb_ci_endpoint_oracle_ias	0
cmdb_ci_endpoint_oracle_rac	0
cmdb_ci_endpoint_oracle_tns	0
cmdb_ci_endpoint_peoplesoft	0
cmdb_ci_endpoint_pop3	0
cmdb_ci_endpoint_postgresql	0
cmdb_ci_endpoint_rabbitmq	0
cmdb_ci_endpoint_remote_tcp	0
cmdb_ci_endpoint_rfc	0
cmdb_ci_endpoint_router	0
cmdb_ci_endpoint_route_table	0
cmdb_ci_endpoint_sap	0
cmdb_ci_endpoint_sap_app	0
cmdb_ci_endpoint_sap_bo_servers	0
cmdb_ci_endpoint_sap_bo_srv	0
cmdb_ci_endpoint_sap_db	0
cmdb_ci_endpoint_sharepoint_service	0
cmdb_ci_endpoint_sim_flow	0
cmdb_ci_endpoint_sim_inc	0
cmdb_ci_endpoint_smtp	0
cmdb_ci_endpoint_sp_connection	0
cmdb_ci_endpoint_ssas	0
cmdb_ci_endpoint_ssas_mssql	0
cmdb_ci_endpoint_ssis	0
cmdb_ci_endpoint_ssis_file	0
cmdb_ci_endpoint_ssis_job	0
cmdb_ci_endpoint_ssis_mssql	0
cmdb_ci_endpoint_storage_fc	0
cmdb_ci_endpoint_storefront_comp	0
cmdb_ci_endpoint_storefront_components	0
cmdb_ci_endpoint_storf	0
cmdb_ci_endpoint_subnet	0
cmdb_ci_endpoint_sybase	0
cmdb_ci_endpoint_tbco_confile	0
cmdb_ci_endpoint_tcp	0
cmdb_ci_endpoint_tibco_bw	0
cmdb_ci_endpoint_tibco_bw_proc	0
cmdb_ci_endpoint_tibco_file	0
cmdb_ci_endpoint_tibco_hawk	0
cmdb_ci_endpoint_tomcat_war	0
cmdb_ci_endpoint_vm_esx	0
cmdb_ci_endpoint_vnic	0
cmdb_ci_endpoint_vpg	0
cmdb_ci_endpoint_weblogic_module	0
cmdb_ci_endpoint_wmb_depend	0
cmdb_ci_endpoint_wmb_flow	0
cmdb_ci_endpoint_xenapp	0
cmdb_ci_endpoint_xenapp_citrx	0
cmdb_ci_endpoint_xenapp_comp	0
cmdb_ci_end_of_life_ledger	0
cmdb_ci_enode_b	0
cmdb_ci_environment	0
cmdb_ci_epicd_app_server	0
cmdb_ci_epic_agent	0
cmdb_ci_epic_cache	0
cmdb_ci_equipment_holder	0
cmdb_ci_esx_resource_pool	0
cmdb_ci_exchange_backend	0
cmdb_ci_exchange_cas	0
cmdb_ci_exchange_edge_transport_server	0
cmdb_ci_exchange_frontend	0
cmdb_ci_exchange_hub	0
cmdb_ci_exchange_hub_transport_server	0
cmdb_ci_exchange_mailbox	0
cmdb_ci_exchange_mailbox_server	0
cmdb_ci_exchange_service_component	0
cmdb_ci_fabric_interconnect	0
cmdb_ci_fan_module	0
cmdb_ci_fc_disk	0
cmdb_ci_fc_export	0
cmdb_ci_fc_port	0
cmdb_ci_fddi_network	0
cmdb_ci_feedline_radio	0
cmdb_ci_fiber_cross_connect_panel	0
cmdb_ci_fiber_distribution_panel	0
cmdb_ci_fiber_serving_terminal	0
cmdb_ci_file_system_nfs	0
cmdb_ci_file_system_smb	0
cmdb_ci_file_system_snapshot	0
cmdb_ci_firewall_cluster	0
cmdb_ci_firewall_cluster_fortinet	0
cmdb_ci_firewall_cluster_juniper	0
cmdb_ci_firewall_device_fortinet	0
cmdb_ci_firewall_device_group	0
cmdb_ci_firewall_device_group_panorama	0
cmdb_ci_firewall_device_palo_alto	0
cmdb_ci_firewall_manager	0
cmdb_ci_firewall_manager_panorama	0
cmdb_ci_firewall_sec_policy	0
cmdb_ci_firewall_sec_policy_panorama	0
cmdb_ci_flow_automation	0
cmdb_ci_fote_transport	0
cmdb_ci_frad_transport	0
cmdb_ci_ftp_server	0
cmdb_ci_fuel_tank	0
cmdb_ci_game_console	0
cmdb_ci_gcp_folder	0
cmdb_ci_gcp_project	0
cmdb_ci_generator_power_eq	0
cmdb_ci_gnode_b	0
cmdb_ci_group	0
cmdb_ci_gunicorn	0
cmdb_ci_handheld_computing	0
cmdb_ci_hc_device	0
cmdb_ci_hmc_server	0
cmdb_ci_hmi	0
cmdb_ci_host_cluster	0
cmdb_ci_hpe_bladesystem_blade	0
cmdb_ci_hpe_bladesystem_enclosure	0
cmdb_ci_hpux_server	0
cmdb_ci_hub_network	0
cmdb_ci_hvac	0
cmdb_ci_hyper_v_cluster	0
cmdb_ci_hyper_v_instance	0
cmdb_ci_hyper_v_network	0
cmdb_ci_hyper_v_network_comp	0
cmdb_ci_hyper_v_object	0
cmdb_ci_hyper_v_resource_pool	0
cmdb_ci_hyper_v_rpool_comp	0
cmdb_ci_hyper_v_server	0
cmdb_ci_hyper_v_storage	0
cmdb_ci_hyper_v_storage_comp	0
cmdb_ci_ibm_frame	0
cmdb_ci_ibm_zos_server	0
cmdb_ci_ids_network	0
cmdb_ci_iface_shelf_transport	0
cmdb_ci_iisdirectory	0
cmdb_ci_imaging	0
cmdb_ci_imaging_hardware	0
cmdb_ci_incomplete_ip	0
cmdb_ci_inetinfo	0
cmdb_ci_infinibox_cg	0
cmdb_ci_infinibox_link	0
cmdb_ci_infinibox_replica	0
cmdb_ci_infinibox_snapshot_cg	0
cmdb_ci_information_object	0
cmdb_ci_infra_service_ldap	0
cmdb_ci_inf_software	0
cmdb_ci_initiator_group	0
cmdb_ci_installed_bundles	0
cmdb_ci_instance_scale_set	0
cmdb_ci_interconnect_instance	0
cmdb_ci_internet_gateway	0
cmdb_ci_inter_connect	0
cmdb_ci_iot	0
cmdb_ci_iot_gateway	0
cmdb_ci_ipdslam	0
cmdb_ci_ip_camera	0
cmdb_ci_ip_device	0
cmdb_ci_ip_network	0
cmdb_ci_ip_network_subnet	0
cmdb_ci_ip_phone	0
cmdb_ci_ip_pool	0
cmdb_ci_ip_server	0
cmdb_ci_ip_service	0
cmdb_ci_isam_server	0
cmdb_ci_iscsi_disk	0
cmdb_ci_iscsi_export	0
cmdb_ci_kafka_cluster	0
cmdb_ci_kafka_cluster_node	0
cmdb_ci_kafka_consumer_group	0
cmdb_ci_keyboard_video_mouse_switch	0
cmdb_ci_key_system_voice	0
cmdb_ci_kong_gateway	0
cmdb_ci_kong_lb	0
cmdb_ci_kong_target	0
cmdb_ci_kvm	0
cmdb_ci_kvm_network	0
cmdb_ci_kvm_object	0
cmdb_ci_kvm_storage_pool	0
cmdb_ci_kvm_storage_volume	0
cmdb_ci_kvm_vm_instance	0
cmdb_ci_lb_a10_partition	0
cmdb_ci_lb_alteon	0
cmdb_ci_lb_appl	0
cmdb_ci_lb_backend_server	0
cmdb_ci_lb_cisco_csm	0
cmdb_ci_lb_cisco_css	0
cmdb_ci_lb_cisco_gss	0
cmdb_ci_lb_ckstickinesspolicy	0
cmdb_ci_lb_datacenter	0
cmdb_ci_lb_f5_gtm	0
cmdb_ci_lb_f5_ltm	0
cmdb_ci_lb_haproxy	0
cmdb_ci_lb_interface	0
cmdb_ci_lb_isa	0
cmdb_ci_lb_listener	0
cmdb_ci_lb_modjk	0
cmdb_ci_lb_modproxy	0
cmdb_ci_lb_netscaler	0
cmdb_ci_lb_nginx	0
cmdb_ci_lb_pool	0
cmdb_ci_lb_pool_member	0
cmdb_ci_lb_radware	0
cmdb_ci_lb_service	0
cmdb_ci_lb_template	0
cmdb_ci_lb_vlan	0
cmdb_ci_lif	0
cmdb_ci_logical_composite	0
cmdb_ci_logical_datacenter	0
cmdb_ci_lpar	0
cmdb_ci_lpar_instance	0
cmdb_ci_lpar_resource	0
cmdb_ci_lvm_pool	0
cmdb_ci_lvm_pool_member	0
cmdb_ci_m2m_custom_application_ci	0
cmdb_ci_mainframe	0
cmdb_ci_mainframe_hardware	0
cmdb_ci_mainframe_lpar	0
cmdb_ci_mainframe_printer	0
cmdb_ci_mainframe_sysplex	0
cmdb_ci_managed_api	0
cmdb_ci_managed_network	0
cmdb_ci_manufacturing	0
cmdb_ci_mas_radio	0
cmdb_ci_media_converter	0
cmdb_ci_media_gateway	0
cmdb_ci_media_player	0
cmdb_ci_medical	0
cmdb_ci_med_device	0
cmdb_ci_med_diagnostic	0
cmdb_ci_med_measuring	0
cmdb_ci_med_monitoring	0
cmdb_ci_med_support	0
cmdb_ci_med_theraputic	0
cmdb_ci_memory_mainframe	0
cmdb_ci_memory_module	0
cmdb_ci_mfp_printer	0
cmdb_ci_microwave_radio	0
cmdb_ci_microwave_radio_equipment	0
cmdb_ci_mirror_template	0
cmdb_ci_mixed_node_b	0
cmdb_ci_mobile_radio	0
cmdb_ci_mobile_switching_center	0
cmdb_ci_mobility_management_entity	0
cmdb_ci_model_entry	0
cmdb_ci_modem_network	0
cmdb_ci_mongo_database	0
cmdb_ci_monitoring_hardware	0
cmdb_ci_monitoring_unit	0
cmdb_ci_monitor_control	0
cmdb_ci_mpio_pool	0
cmdb_ci_mpio_pool_group	0
cmdb_ci_mpio_pool_path	0
cmdb_ci_msd	0
cmdb_ci_mssql_cluster	0
cmdb_ci_mssql_cluster_node	0
cmdb_ci_multimedia	0
cmdb_ci_multiplexer	0
cmdb_ci_multi_service_network_router	0
cmdb_ci_multi_service_switch	0
cmdb_ci_mux_transport	0
cmdb_ci_nas_storage	0
cmdb_ci_nat_gateway	0
cmdb_ci_netapp_cdot	0
cmdb_ci_netapp_datacenter	0
cmdb_ci_netapp_svm	0
cmdb_ci_netapp_volume	0
cmdb_ci_netware_server	0
cmdb_ci_network	0
cmdb_ci_network_acl	0
cmdb_ci_network_acl_rule	0
